0,1,2,3,4,5,6
80,2.35 (2.30–2.41var),–,η,Cen,0310,B1.5 Vne
81,2.37,Merak,β,UMa,0079,A1 IVps
82,2.38,Ankaa,α,Phe,0077,K0.5 IIIb
83,2.39,Girtab[b],κ,Sco,0460,B1.5 III
84,2.40 (0.7–3.0var),Enif,ε,Peg,0670,K2 Ib
85,2.42 (2.31–2.74var),Scheat,β,Peg,0200,M2.5 II-IIIe
86,2.43,Sabik,η,Oph,0088,"A1 IV, A1 IV"
87,2.44,Phecda,γ,UMa,0084,A0 Ve
88,2.45,Aludra,η,CMa,"2,000",B5 Ia
89,2.46,Markeb,κ,Vel,0540,B2 IV
90,2.47 (1.6–3.0var),Navi[c],γ,Cas,0610,B0.5 IVe
91,2.48,Markab,α,Peg,0140,A0 IV
92,2.48,Aljanah,ε,Cyg,0072,K0 III-IV
93,2.50,Acrab,β,Sco,0404,"B0.5 IV-V, B1.5 V, B2 V"
